タイトル,課題,サービス内容,URL,
マッシュ、立ち仕事の女性向けブランドグンゼと共同で,販路拡大,FS_販売_アパレルコスメ,https://www.nikkei.com/article/DGXZQOUC211OL0R20C24A3000000/,
家電量販5社、3月は4社増収気温低くエアコン好調,売上拡大,FS_販売_家電,https://www.nikkei.com/article/DGXZQOUC087FJ0Y4A400C2000000/,
ホームパーティー、巣ごもり家電活躍｢家飲み｣から進化,売上拡大,FS_販売_家電,https://www.nikkei.com/article/DGXZQOUC07DMM0X00C24A3000000/,
エアークローゼット、出産後の復職者に洋服を無償提供,販路拡大,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUC0977M0Z00C24A4000000/,
タカラスタンダード小森社長「浴槽や洗面台もトップに」,販路拡大,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOUF29BIB0Z20C24A3000000/,
日本宅配システム、ゴルフバッグ収納できる宅配ボックス,販路拡大,FS_営業_BtoC,https://www.nikkei.com/article/DGXZQOUC105RM0Q4A410C2000000/,
アシックス､リサイクルしやすいシューズを発売,販路拡大,FS_販売_アパレルコスメ,https://www.nikkei.com/article/DGXZQOUF111PO0R10C24A4000000/,
ITシステム導入補助金を賢く活用BizGate,"IT補助金導入企業へのアプローチ
?対象となるITツールを開発している企業への営業支援",FS_営業_BtoB,https://bizgate.nikkei.com/article/DGXZQOLM252CB025032024000000?n_cid=TPRN0002&utm_source=NK&utm_medium=banner&utm_campaign=bg-osusume,
蓄電池とは電気をためて需給を調整,蓄電池を置けそうな家や工場のピックアップができていない,FS_営業_BtoC,https://www.nikkei.com/article/DGXZQOUC15A4Y0V10C24A4000000/,
レジルの丹治社長「マンションの防災と脱炭素に貢献」,会員獲得/申請対応のコール部隊のリソース不足,FS_営業_BtoC,https://www.nikkei.com/article/DGXZQOUC23AYJ0T20C24A4000000/,←コールセンターの求人情報
バイタルネット、医師や薬剤師ら連携アプリ東北大と開発,提携病院の拡大、利用定着,FS_営業_ラウンダー,https://www.nikkei.com/article/DGXZQOCC241E50U4A420C2000000/,
東京都、スタートアップに支援の輪5月に新拠点開業,"東京イノベーションベース（TIB）
└出店した企業が分かれば営業チャンスあり
?東京都と連携してここの運営とか何かできないかな？
情報が早くピックアップできれば◎",FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOCC0253I0S4A400C2000000/,
静岡銀行、CO2排出算出ツールで県内6金融機関と連携,環境保全,FS_営業_BtoB,https://www.nikkei.com/article/DGXZQOCC2287Y0S4A420C2000000/,
家電量販店5社、4月は4社が増収高気温でエアコン好調,販売員不足,FS_販売_家電,https://www.nikkei.com/article/DGXZQOUC097VZ0Z00C24A5000000/,
「ドンキ」、顧客が不満ならPB代金返金全5万7千品で,問合せ多数,IS_コール,https://www.nikkei.com/article/DGXZQOUC095A80Z00C24A5000000/,
